	Day	UseForFinalData	Well	Sample	PEG	Sex	Mouse_num	Osmolality	Species	Primer_Set	Output_Conc(copies/ul)	Accepted_droplets	Positive_dropletes	Rxn_Well_volume_ul	DropletGenerator_volume	template_input_ul	Diluted_conc(copies/ul)	dilution	Undiluted_Copies/ul	Rel_abund_sample_ddPCR	Total_sample_absolute_load_ul	Total_sample_absolute_load_ml	Total_CFU_ml
141	2024-02-28	y	C4	5_M1	5.0	M	1	498	Enterococcus faecalis	1	828.182067871094	17990.0	8677.0	22	20	2.0	455.500137329102	1000	455500.137329102	21.7788700664583			
142	2024-02-28	y	D4	5_M1	5.0	M	1	498	Eubacterium rectale	1	0.0	20664.0	0.0	22	20	2.0	0.0	1000	0.0	0.0			
143	2024-02-28	y	E4	5_M1	5.0	M	1	498	Faecalibacterium prausnitzii	1	0.0	21612.0	0.0	22	20	2.0	0.0	1000	0.0	0.0			
144	2024-02-29	y	D1	0_M2	0.0	M	2	437	Clostridium sporogenes	1	14.9779682159424	20867.0	247.0	22	20	2.0	8.23788251876831	1000	8237.88251876831	0.686778720270802			
145	2024-02-29	y	E1	0_M2	0.0	M	2	437	Collinsella stercoris	1	63.1339263916016	16996.0	832.0	22	20	2.0	34.7236595153809	1000	34723.6595153809	2.89485439865897			
146	2024-02-29	y	F1	0_M2	0.0	M	2	437	Escherichia coli	1	39.022403717041	19413.0	593.0	22	20	2.0	21.4623220443726	1000	21462.3220443726	1.78927849894585			
147	2024-02-29	y	G1	0_M2	0.0	M	2	437	Enterococcus faecalis	1	400.720794677734	16766.0	4574.0	22	20	2.0	220.396437072754	1000	220396.437072754	18.3740885670826			
148	2024-02-29	y	H1	0_M2	0.0	M	2	437	Eubacterium rectale	1	0.0	18857.0	0.0	22	20	2.0	0.0	1000	0.0	0.0			
149	2024-02-29	y	A2	0_M2	0.0	M	2	437	Faecalibacterium prausnitzii	1	274.262878417969	16707.0	3273.0	22	20	2.0	150.844583129883	1000	150844.583129883	12.5756648660259			
150	2024-02-29	y	F2	0_M3	0.0	M	3	503	Clostridium sporogenes	1	44.092845916748	19044.0	656.0	22	20	2.0	24.2510652542114	1000	24251.0652542114	0.624867748198683			
151	2024-02-29	y	G2	0_M3	0.0	M	3	503	Collinsella stercoris	1	199.713592529297	19338.0	2839.0	22	20	2.0	109.842475891113	1000	109842.475891113	2.83026827263716			
152	2024-02-29	y	H2	0_M3	0.0	M	3	503	Escherichia coli	1	91.0608139038086	17885.0	1249.0	22	20	2.0	50.0834476470947	1000	50083.4476470947	1.29048067889851			
153	2024-02-29	y	A3	0_M3	0.0	M	3	503	Enterococcus faecalis	1	1356.66796875	15693.0	10356.0	22	20	2.0	746.1673828125	1000	746167.3828125	19.2262041848402			
154	2024-02-29	y	C3	0_M3	0.0	M	3	503	Faecalibacterium prausnitzii	1	528.149047851562	17645.0	6050.0	22	20	2.0	290.481976318359	1000	290481.976318359	7.48473588816207			
